train_name,target,train_n,test_n,train_pos_rate,test_pos_rate,auc,accuracy,macro_f1,status,generator,seed,n_features,train_on_real_auc,utility_gap
PALSYN_seed41,los_over_4h,813,258,0.6826568265682657,0.6201550387596899,0.5156887755102041,0.5503875968992248,0.4095643939393939,ok,PALSYN,41,7,0.7183354591836735,0.20264668367346939
PALSYN_seed41,admission_conversion,0,258,,0.5155038759689923,,,,too_few_cases_or_missing_label,PALSYN,41,7,0.7526616541353383,
PALSYN_seed42,readmission_30d,0,258,,0.0,,,,too_few_cases_or_missing_label,PALSYN,42,7,,
PALSYN_seed42,los_over_4h,791,258,0.6649810366624526,0.6201550387596899,0.515625,0.627906976744186,0.40461538461538465,ok,PALSYN,42,7,0.7183354591836735,0.20271045918367347
PALSYN_seed42,admission_conversion,0,258,,0.5155038759689923,,,,too_few_cases_or_missing_label,PALSYN,42,7,0.7526616541353383,
PALSYN_seed43,readmission_30d,0,258,,0.0,,,,too_few_cases_or_missing_label,PALSYN,43,7,,
PALSYN_seed43,los_over_4h,812,258,0.6921182266009852,0.6201550387596899,0.453890306122449,0.5581395348837209,0.4197443181818182,ok,PALSYN,43,7,0.7183354591836735,0.26444515306122446
PALSYN_seed43,admission_conversion,0,258,,0.5155038759689923,,,,too_few_cases_or_missing_label,PALSYN,43,7,0.7526616541353383,
PALSYN_seed44,readmission_30d,0,258,,0.0,,,,too_few_cases_or_missing_label,PALSYN,44,7,,
PALSYN_seed44,los_over_4h,816,258,0.7034313725490197,0.6201550387596899,0.4404336734693877,0.6201550387596899,0.3827751196172249,ok,PALSYN,44,7,0.7183354591836735,0.27790178571428575
PALSYN_seed44,admission_conversion,0,258,,0.5155038759689923,,,,too_few_cases_or_missing_label,PALSYN,44,7,0.7526616541353383,
PALSYN_seed45,readmission_30d,0,258,,0.0,,,,too_few_cases_or_missing_label,PALSYN,45,7,,
PALSYN_seed45,los_over_4h,820,258,0.6609756097560976,0.6201550387596899,0.5662308673469388,0.5891472868217055,0.5018579234972678,ok,PALSYN,45,7,0.7183354591836735,0.15210459183673464
PALSYN_seed45,admission_conversion,0,258,,0.5155038759689923,,,,too_few_cases_or_missing_label,PALSYN,45,7,0.7526616541353383,
Rule_based_seed41,readmission_30d,899,258,0.0011123470522803114,0.0,,,,test_single_class,Rule_based,41,12,,
Rule_based_seed41,los_over_4h,899,258,0.6040044493882091,0.6201550387596899,0.5082589285714286,0.5387596899224806,0.4910399018616448,ok,Rule_based,41,12,0.7183354591836735,0.21007653061224485
Rule_based_seed41,admission_conversion,899,258,0.9955506117908788,0.5155038759689923,0.5554285714285714,0.5155038759689923,0.340153452685422,ok,Rule_based,41,12,0.7526616541353383,0.19723308270676687
Rule_based_seed42,readmission_30d,899,258,0.0,0.0,,,,train_single_class,Rule_based,42,12,,
Rule_based_seed42,los_over_4h,899,258,0.6051167964404894,0.6201550387596899,0.4911670918367347,0.6085271317829457,0.5196062164703279,ok,Rule_based,42,12,0.7183354591836735,0.2271683673469388
Rule_based_seed42,admission_conversion,899,258,0.9944382647385984,0.5155038759689923,0.6230977443609023,0.5155038759689923,0.340153452685422,ok,Rule_based,42,12,0.7526616541353383,0.129563909774436
Rule_based_seed43,readmission_30d,899,258,0.002224694104560623,0.0,,,,test_single_class,Rule_based,43,12,,
Rule_based_seed43,los_over_4h,899,258,0.6028921023359288,0.6201550387596899,0.5084183673469388,0.5930232558139535,0.5408085430968725,ok,Rule_based,43,12,0.7183354591836735,0.20991709183673468
Rule_based_seed43,admission_conversion,899,258,0.9955506117908788,0.5155038759689923,0.5871879699248119,0.5155038759689923,0.340153452685422,ok,Rule_based,43,12,0.7526616541353383,0.16547368421052633
Rule_based_seed44,readmission_30d,899,258,0.0011123470522803114,0.0,,,,test_single_class,Rule_based,44,12,,
Rule_based_seed44,los_over_4h,899,258,0.5951056729699666,0.6201550387596899,0.4805165816326531,0.5465116279069767,0.4820788222980972,ok,Rule_based,44,12,0.7183354591836735,0.23781887755102038
Rule_based_seed44,admission_conversion,899,258,0.9933259176863182,0.5155038759689923,0.5634586466165413,0.5155038759689923,0.340153452685422,ok,Rule_based,44,12,0.7526616541353383,0.18920300751879693
Rule_based_seed45,readmission_30d,899,258,0.0011123470522803114,0.0,,,,test_single_class,Rule_based,45,12,,
Rule_based_seed45,los_over_4h,899,258,0.6173526140155728,0.6201550387596899,0.4819515306122449,0.6046511627906976,0.49078947368421055,ok,Rule_based,45,12,0.7183354591836735,0.2363839285714286
Rule_based_seed45,admission_conversion,899,258,0.996662958843159,0.5155038759689923,0.6692030075187969,0.5155038759689923,0.340153452685422,ok,Rule_based,45,12,0.7526616541353383,0.08345864661654134
